Variable,Minimum,Maximum,Mean,Median,StdDev,ms.x,end,chart,weeks,rank,signature
acousticness.x,0,0.955,0.164,0.086,0.182,NA,NA,NA,NA,NA,NA
danceability.x,0.19,0.956,0.666,0.677,0.143,NA,NA,NA,NA,NA,NA
energy.x,0.119,0.98,0.686,0.695,0.152,NA,NA,NA,NA,NA,NA
instrumentalness.x,0,0.925,0.018,0,0.097,NA,NA,NA,NA,NA,NA
key,0,11,5.154,5,3.36,NA,NA,NA,NA,NA,NA
liveness.x,0.027,0.957,0.17,0.114,0.149,NA,NA,NA,NA,NA,NA
loudness.x,-17.692,-1.299,-6.196,-5.862,2.174,NA,NA,NA,NA,NA,NA
mode,0,1,0.551,1,0.498,NA,NA,NA,NA,NA,NA
popularity,10,81,58.983,60,11.308,NA,NA,NA,NA,NA,NA
ranking,1,100,46.296,46,27.965,NA,NA,NA,NA,NA,NA
speechiness.x,0.024,0.505,0.113,0.058,0.107,NA,NA,NA,NA,NA,NA
tempo.x,62.876,203.746,116.671,106.027,29.737,NA,NA,NA,NA,NA,NA
valence.x,0.061,0.969,0.598,0.64,0.23,NA,NA,NA,NA,NA,NA
year.x,2000,2021,2002.043,2002,1.686,NA,NA,NA,NA,NA,NA
